######################################################################
# H2O Spectrum based on HITRAN2008
######################################################################

HITRAN2008  H2O Spectrum at 265K and 0.7atm
mol/cm^2

  265.00   1.00000000E-25    380.00000000  910.00000000  53001
  388.239990   0.0000000D+00
  388.250000   0.0000000D+00
  388.260010   0.0000000D+00
  388.269989   0.0000000D+00
  388.279999   0.0000000D+00
  388.290009   0.0000000D+00
  388.299988   0.0000000D+00
  388.309998   0.0000000D+00
  388.320007   0.0000000D+00
  388.329987   0.0000000D+00
  388.339996   0.0000000D+00
  388.350006   0.0000000D+00
  388.359985   0.0000000D+00
  388.369995   0.0000000D+00
  388.380005   0.0000000D+00
  388.390015   0.0000000D+00
  388.399994   0.0000000D+00
  388.410004   0.0000000D+00
  388.420013   0.0000000D+00
  388.429993   0.0000000D+00
  388.440002   0.0000000D+00
  388.450012   0.0000000D+00
  388.459991   0.0000000D+00
  388.470001   0.0000000D+00
  388.480011   0.0000000D+00
  388.489990   0.0000000D+00
  388.500000   0.0000000D+00
  388.510010   0.0000000D+00
  388.519989   0.0000000D+00
  388.529999   0.0000000D+00
  388.540009   0.0000000D+00
  388.549988   0.0000000D+00
  388.559998   0.0000000D+00
  388.570007   0.0000000D+00
  388.579987   0.0000000D+00
  388.589996   0.0000000D+00
  388.600006   0.0000000D+00
  388.609985   0.0000000D+00
  388.619995   0.0000000D+00
  388.630005   0.0000000D+00
  388.640015   0.0000000D+00
  388.649994   0.0000000D+00
  388.660004   0.0000000D+00
  388.670013   0.0000000D+00
  388.679993   0.0000000D+00
  388.690002   0.0000000D+00
  388.700012   0.0000000D+00
  388.709991   0.0000000D+00
  388.720001   0.0000000D+00
  388.730011   0.0000000D+00
  388.739990   0.0000000D+00
  388.750000   0.0000000D+00
  388.760010   0.0000000D+00
  388.769989   0.0000000D+00
  388.779999   0.0000000D+00
  388.790009   0.0000000D+00
  388.799988   0.0000000D+00
  388.809998   0.0000000D+00
  388.820007   0.0000000D+00
  388.829987   0.0000000D+00
  388.839996   0.0000000D+00
  388.850006   0.0000000D+00
  388.859985   0.0000000D+00
  388.869995   0.0000000D+00
  388.880005   0.0000000D+00
  388.890015   0.0000000D+00
  388.899994   0.0000000D+00
  388.910004   0.0000000D+00
  388.920013   0.0000000D+00
  388.929993   0.0000000D+00
